setting,group,method,split,stationary_error,nonstationary_error
2,data_160_10_space,stsir,"(2, 2, 2)",1.1824185292313607,1.1834274424785234
2,data_160_10_space,stsir,"(3, 3, 3)",1.1868672358264252,1.1874547402310982
2,data_160_10_space,stsir,"(4, 4, 4)",1.2087975921110623,1.2090745165469243
2,data_160_10_space_time,random,"(2, 2, 2)",1.2144219499151665,1.214645158
2,data_160_10_space_time,random,"(3, 3, 3)",1.2144219499151665,1.214645158
2,data_160_10_space_time,random,"(4, 4, 4)",1.2144219499151665,1.214645158
2,data_160_10_space_time,stcomb,"(2, 2, 2)",0.6601127029796843,0.6576527841996658
2,data_160_10_space_time,stcomb,"(3, 3, 3)",0.063718884,0.058307354
2,data_160_10_space_time,stcomb,"(4, 4, 4)",0.087983441,0.083063081
2,data_160_10_space_time,stlcor,"(2, 2, 2)",1.2290258415948174,1.2303489820811169
2,data_160_10_space_time,stlcor,"(3, 3, 3)",1.2016633922417204,1.201705027451165
2,data_160_10_space_time,stlcor,"(4, 4, 4)",1.196675531044592,1.1970238547845375
2,data_160_10_space_time,stsave,"(2, 2, 2)",0.5961583981982467,0.5929689648670493
2,data_160_10_space_time,stsave,"(3, 3, 3)",0.058861274,0.053394316
2,data_160_10_space_time,stsave,"(4, 4, 4)",0.084476208,0.079409337
2,data_160_10_space_time,stsir,"(2, 2, 2)",1.1964121499500653,1.196465412962455
2,data_160_10_space_time,stsir,"(3, 3, 3)",1.2012249868893183,1.2016366190724823
2,data_160_10_space_time,stsir,"(4, 4, 4)",1.2064092658601515,1.2060363693206226
2,data_160_10_time,random,"(2, 2, 2)",1.2083710532979586,1.2085100849196602
2,data_160_10_time,random,"(3, 3, 3)",1.2083710532979586,1.2085100849196602
2,data_160_10_time,random,"(4, 4, 4)",1.2083710532979586,1.2085100849196602
2,data_160_10_time,stcomb,"(2, 2, 2)",0.052617868,0.043705526
2,data_160_10_time,stcomb,"(3, 3, 3)",0.043114165,0.033793145
2,data_160_10_time,stcomb,"(4, 4, 4)",0.064806053,0.056083661
2,data_160_10_time,stlcor,"(2, 2, 2)",1.2110024243323014,1.2105621887709304
2,data_160_10_time,stlcor,"(3, 3, 3)",1.2248581004109889,1.224486191662625
2,data_160_10_time,stlcor,"(4, 4, 4)",1.1982223536563008,1.19796535
2,data_160_10_time,stsave,"(2, 2, 2)",0.051106298,0.042202468
2,data_160_10_time,stsave,"(3, 3, 3)",0.042972047,0.033643099
2,data_160_10_time,stsave,"(4, 4, 4)",0.064159332,0.055411312
2,data_160_10_time,stsir,"(2, 2, 2)",1.2041643678498308,1.2043261331262325
2,data_160_10_time,stsir,"(3, 3, 3)",1.2114089462635311,1.2105606779931382
2,data_160_10_time,stsir,"(4, 4, 4)",1.2211691784993373,1.2215437494525312
2,data_160_50_space,random,"(2, 2, 2)",1.1979160092154957,1.1981518563015965
2,data_160_50_space,random,"(3, 3, 3)",1.197916009215496,1.198151856301596
2,data_160_50_space,random,"(4, 4, 4)",1.197916009215496,1.198151856301596
2,data_160_50_space,stcomb,"(2, 2, 2)",0.3136396101585138,0.3129459048737437
2,data_160_50_space,stcomb,"(3, 3, 3)",0.005040432,0.00409979
2,data_160_50_space,stcomb,"(4, 4, 4)",0.005514063,0.004566472
2,data_160_50_space,stlcor,"(2, 2, 2)",1.2507756850541978,1.2514043794728047
2,data_160_50_space,stlcor,"(3, 3, 3)",1.2179390476817749,1.2178981895696892
2,data_160_50_space,stlcor,"(4, 4, 4)",1.1847756062204264,1.184681133843184
